AAPL,Apple Inc.,United States,,164000,Technology,Consumer Electronics
NVDA,NVIDIA Corporation,United States,,29600,Technology,Semiconductors
MSFT,Microsoft Corporation,United States,,228000,Technology,Software - Infrastructure
AMZN,"Amazon.com, Inc.",United States,,1551000,Consumer Cyclical,Internet Retail
GOOGL,Alphabet Inc.,United States,,181269,Communication Services,Internet Content & Information
GOOG,Alphabet Inc.,United States,,181269,Communication Services,Internet Content & Information
META,"Meta Platforms, Inc.",United States,,72404,Communication Services,Internet Content & Information
TSLA,"Tesla, Inc.",United States,,140473,Consumer Cyclical,Auto Manufacturers
AVGO,Broadcom Inc.,United States,,20000,Technology,Semiconductors
BRK-B,Berkshire Hathaway Inc. New,United States,,396500,Financial Services,Insurance - Diversified
WMT,Walmart Inc.,United States,,2100000,Consumer Defensive,Discount Stores
LLY,Eli Lilly and Company,United States,,43000,Healthcare,Drug Manufacturers - General
JPM,JP Morgan Chase & Co.,United States,,316043,Financial Services,Banks - Diversified
V,Visa Inc.,United States,,,Financial Services,Credit Services
MA,Mastercard Incorporated,United States,,33400,Financial Services,Credit Services
ORCL,Oracle Corporation,United States,,159000,Technology,Software - Infrastructure
XOM,Exxon Mobil Corporation,United States,,62000,Energy,Oil & Gas Integrated
UNH,UnitedHealth Group Incorporated,United States,,440000,Healthcare,Healthcare Plans
COST,Costco Wholesale Corporation,United States,,333000,Consumer Defensive,Discount Stores
PG,Procter & Gamble Company (The),United States,,108000,Consumer Defensive,Household & Personal Products
HD,"Home Depot, Inc. (The)",United States,,465000,Consumer Cyclical,Home Improvement Retail
NFLX,"Netflix, Inc.",United States,,13000,Communication Services,Entertainment
JNJ,Johnson & Johnson,United States,,131900,Healthcare,Drug Manufacturers - General
BAC,Bank of America Corporation,United States,,213000,Financial Services,Banks - Diversified
CRM,"Salesforce, Inc.",United States,,72682,Technology,Software - Application
ABBV,AbbVie Inc.,United States,,50000,Healthcare,Drug Manufacturers - General
KO,Coca-Cola Company (The),United States,,79100,Consumer Defensive,Beverages - Non-Alcoholic
TMUS,"T-Mobile US, Inc.",United States,,67000,Communication Services,Telecom Services
CVX,Chevron Corporation,United States,,45600,Energy,Oil & Gas Integrated
MRK,"Merck & Company, Inc.",United States,,70000,Healthcare,Drug Manufacturers - General
WFC,Wells Fargo & Company,United States,,220167,Financial Services,Banks - Diversified
CSCO,"Cisco Systems, Inc.",United States,,90400,Technology,Communication Equipment
ACN,Accenture plc,Ireland,,774000,Technology,Information Technology Services
NOW,"ServiceNow, Inc.",United States,,22668,Technology,Software - Application
AXP,American Express Company,United States,,74600,Financial Services,Credit Services
MCD,McDonald's Corporation,United States,,100000,Consumer Cyclical,Restaurants
